Name,Colors,Bin_0 Bin_1 Bin_2
X,1,10.100000000000001 0.192731860619149 0.872849916959226
X,1,10.100000000000001 0.192731860619149 0.872849916959226
X,1,10.100000000000001 0.192731860619149 0.872849916959226
X,1,10.100000000000001 0.192731860619149 0.872849916959226
X,1,10.100000000000001 0.192731860619149 0.872849916959226
X,1,10.100000000000001 0.192731860619149 0.872849916959226
X,1,10.100000000000001 0.192731860619149 0.872849916959226
X,1,10.100000000000001 0.192731860619149 0.872849916959226
X,1,10.100000000000001 0.192731860619149 0.872849916959226
X,1,10.100000000000001 0.192731860619149 0.872849916959226
Y,2,0.846622878969694 10.100000000000001 0.536809258616263
Y,2,0.846622878969694 10.100000000000001 0.536809258616263
Y,2,0.846622878969694 10.100000000000001 0.536809258616263
Y,2,0.846622878969694 10.100000000000001 0.536809258616263
Y,2,0.846622878969694 10.100000000000001 0.536809258616263
Y,2,0.846622878969694 10.100000000000001 0.536809258616263
Y,2,0.846622878969694 10.100000000000001 0.536809258616263
Y,2,0.846622878969694 10.100000000000001 0.536809258616263
Y,2,0.846622878969694 10.100000000000001 0.536809258616263
Y,2,0.846622878969694 10.100000000000001 0.536809258616263
Z,3,0.497377965344568 0.194312057980138 10.100000000000001
Z,3,0.497377965344568 0.194312057980138 10.100000000000001
Z,3,0.497377965344568 0.194312057980138 10.100000000000001
Z,3,0.497377965344568 0.194312057980138 10.100000000000001
Z,3,0.497377965344568 0.194312057980138 10.100000000000001
Z,3,0.497377965344568 0.194312057980138 10.100000000000001
Z,3,0.497377965344568 0.194312057980138 10.100000000000001
Z,3,0.497377965344568 0.194312057980138 10.100000000000001
Z,3,0.497377965344568 0.194312057980138 10.100000000000001
Z,3,0.497377965344568 0.194312057980138 10.100000000000001
